抓取時間,預報時段,低溫(°C),高溫(°C),降雨機率(%)
2026-08-21 15:18:32,08/21-12:00 ~ 08/21-18:00,29,30,70
2026-08-21 15:18:32,08/21-18:00 ~ 08/22-06:00,26,29,70
2026-08-21 15:18:32,08/22-06:00 ~ 08/22-18:00,26,30,20
2026-08-21 15:39:17,08/21-12:00 ~ 08/21-18:00,29,30,70
2026-08-21 15:39:17,08/21-18:00 ~ 08/22-06:00,26,29,70
2026-08-21 15:39:17,08/22-06:00 ~ 08/22-18:00,26,30,20
2026-08-21 15:44:17,08/21-12:00 ~ 08/21-18:00,29,30,70
2026-08-21 15:44:17,08/21-18:00 ~ 08/22-06:00,26,29,70
2026-08-21 15:44:17,08/22-06:00 ~ 08/22-18:00,26,30,20
2026-08-21 15:49:17,08/21-12:00 ~ 08/21-18:00,29,30,70
2026-08-21 15:49:17,08/21-18:00 ~ 08/22-06:00,26,29,70
2026-08-21 15:49:17,08/22-06:00 ~ 08/22-18:00,26,30,20
2026-08-21 15:51:02,"<g id=""C66""><desc>臺中市</desc>
<path class=""st1"" d=""M168.4,194.1c-2.1-0.6-3-1-3.9-1.4c3-4.8,6.1-10.3,6.3-12.2c0.3-3.4,5.3-15.2,8.4-18.6c2-2.2,1.9-5.5,3.1-7.5
 c1.7,1.5,4,3.8,4.8,5.7c1.2,2.9,7.7,7.2,13,11.8c5.4,4.6,5.6,2.3,8.3,3.9c2.7,1.7,3.9,3.1,8.7,3.7c4.8,0.6,7.5-1.9,7.5-4.1
 c0-2.3,2.7-2.1,6.4-1.9c3.7,0.2,5.8,1.2,6.2,2.7c0.4,1.4,3.9,2.1,4.5,0c0.6-2.1,4.2-1.2,7.1-1.2c2.9,0,1.2-2.3,3.9-3.7
 c2.7-1.5,4.8-3.1,6.3-6c1.5-2.9,3.7-0.4,6.8-1c3.1-0.6,1.2-2.3,1.9-4.1c0.1-0.2,0.1-0.4,0.1-0.6c2.1-0.4,4.8-0.9,7.4-1.4
 c0.2,0,0.4-0.1,0.5-0.1c0.5,1.3,0.8,2.6,0.8,3.4c0.1,1.9,2.4,3.7,3.4,3.1c1-0.6,1.7,2.1,3.5,2.7c1.9,0.6,4.2-2.9,6-2.9
 s3.6,0.6,4.4,3c0.2,0.6,0.5,1,0.8,1.4c-1.3,4.5-3.2,7.7-4.5,8.5c-1.7,1-4.1,4.8-5,7.3c-0.8,2.5-2.1,0.8-3.5,2.9
 c-0.5,0.7-0.9,1-1.3,1.2l0,0c-0.8,0.4-1.8,0-3.8-0.2c-3-0.2-5.7-1.9-8.7-0.4c-3,1.4-5.5-0.8-8.7,0.8c-3.2,1.5-4.4,2.1-6.3,3.8
 c-1.9,1.7-3.1,1-4.8,1.7c-1.7,0.6-2.3,3.9-4.8,4.1c-2.5,0.2-5.4-0.2-5.6,1.9c-0.2,2.1-2.9,4.6-5,4.6c-2.1,0-2.1,0.2-3.5-1.2
 c-1.5-1.5-1,0.8-3.7,1.3c-2.7,0.4-7.9,0.6-9.7,0c-1.9-0.6-1.9,2.9-2.5,3.7c-0.6,0.8-3.7,10.1-7,12.4c-3.3,2.3-7.5,0.6-11.4,0
 c-3.5-0.5-4.2-0.6-5.8-1.6l0,0c-0.2-0.1-0.4-0.3-0.7-0.4c-2.1-1.5-2.7-2.1-2.5-4.3c0.2-2.3-1.7-5.6-3.9-6.4
 c-2.3-0.8-9.5-2.7-9.7-6.6C171.9,197.2,172.1,195.2,168.4,194.1z""></path>
</g>"
2026-08-21 15:54:17,08/21-12:00 ~ 08/21-18:00,29,30,70
2026-08-21 15:54:17,08/21-18:00 ~ 08/22-06:00,26,29,70
2026-08-21 15:54:17,08/22-06:00 ~ 08/22-18:00,26,30,20
2026-08-21 15:59:17,08/21-12:00 ~ 08/21-18:00,29,30,70
2026-08-21 15:59:17,08/21-18:00 ~ 08/22-06:00,26,29,70
2026-08-21 15:59:17,08/22-06:00 ~ 08/22-18:00,26,30,20
